##--Author      JRM Annand   29th Apr 2003
##--Update      R Gregor...
##--Description
##                *** Acqu++ <-> Root ***
## Online/Offline Analysis of Sub-Atomic Physics Experimental Data
##
## Parameter File: TAPS_BaF2.dat
## Setup of decoding of BaF2 information
##
##-----------------------------------------------------------------------
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:  384    1       1       1
#RawHits:
#BitPattern: data/Dec_07/TAPS/TAPS.pat
#
#
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
Element: 27034  0.01 20. 85.5164	0.0153206     27334  -200.0  200.0 2887.5118  0.050   25.980761  -33.000000  146.350000
Element: 27035  0.01 20. 85.5516	0.0299506     27335  -200.0  200.0 2865.4413  0.050   31.176912  -30.000000  146.350000
Element: 27036  0.01 20. 86.1657	0.0108194     27336  -200.0  200.0 2898.5240  0.050   36.373062  -27.000000  146.350000
Element: 27037  0.01 20. 86.3536	0.0130451     27337  -200.0  200.0 2865.8705  0.050    0.000000  -54.000000  146.350000
Element: 27038  0.01 20. 86.0337	0.0167793     27338  -200.0  200.0 2863.0139  0.050    5.196152  -51.000000  146.350000
Element: 27039  0.01 20. 85.7273	0.0157222     27339  -200.0  200.0 2862.8284  0.050   10.392304  -48.000000  146.350000
Element: 27040  0.01 20. 85.5965	0.0105032     27340  -200.0  200.0 2881.5144  0.050   15.588456  -45.000000  146.350000
Element: 27041  0.01 20. 86.2305	0.0140016     27341  -200.0  200.0 2870.7473  0.050   20.784609  -42.000000  146.350000
Element: 27042  0.01 20. 85.6895	0.0176069     27342  -200.0  200.0 2859.0262  0.050   25.980761  -39.000000  146.350000
Element: 27043  0.01 20. 85.3115	0.0110103     27343  -200.0  200.0 2859.7924  0.050   31.176912  -36.000000  146.350000
Element: 27044  0.01 20. 86.4861	0.0161232     27344  -200.0  200.0 2853.5239  0.050   36.373062  -33.000000  146.350000
Element: 27045  0.01 20. 85.8069	0.0195369     27345  -200.0  200.0 2847.2804  0.050   41.569218  -30.000000  146.350000
